ind;ringnr;tr;plats;year;date;hour;sign;sex;age;wing;tarsv;tail;wproj;fett;weigh;bill;bihe;biwi
H9-29;NA;1;Kvi;92;36;11;DHT;male;30;102.4;33.9;79;29;1;34.6;12.3;5.3;5.1
H9-59;NA;1;Kvi;92;11;9;DHT;male;30;101;32.9;80;NA;3;NA;NA;NA;NA
H9-78;NA;1;Kvi;92;24;14;SBH;female;30;95;32.1;75;28;4;36.4;12.2;4.8;4.8
H9-78;NA;2;Kvi;92;47;19;DHT;female;30;96;32.7;76;27.5;4;32.8;NA;NA;NA
H9-85;NA;1;Kvi;92;56;8;DHT;female;30;96;31.8;73;28.5;2;NA;12.3;5;5.2
H9-88;NA;1;Kvi;92;34;7;SBH;male;30;104.4;33;82;30.5;1;33.8;12.4;5.1;4.8
H9-94;NA;1;Kvi;92;49;11;SBH;female;30;97;33;77;29;2;30.7;12.6;5.1;5
V-99;NA;1;Kvi;92;44;10;DHT;male;75;105;33.4;81;30;1;34.8;12.6;5.3;5
V8-00;NA;1;Lett;92;15;12;SBH;male;35;103;34.1;84;32;1;34.4;13;5.3;5.2
V8-07;NA;1;Lett;92;14;13;MSN;male;35;102;32.8;84;30;2;35.8;13.2;5.2;5.1
V8-08;NA;1;Lett;92;15;15;MSN;male;35;102;34.1;84;32;3;34.3;12.5;5;4.9
V8-10;NA;1;Lett;92;14;17;SBH;male;35;100;34.7;80;30;4;38.8;12.9;5.2;5.1
V8-11;NA;1;Lett;92;12;13;SBH;male;35;103;34;80;31.5;2;34.7;12.1;5.2;5.1
V8-15;NA;1;Lett;92;14;16;SBH;male;35;103;32;86;31;3;33.8;12.9;5.5;5.2
V8-17;NA;1;Lett;92;15;16;MSN;male;35;101;33.8;81;31;2;36.5;12.8;5.1;4.8
V8-20;NA;1;Lett;92;15;12;SBH;male;20;99;33.1;79;30;3;36.8;12.1;5.2;5
V8-22;NA;1;Lett;92;11;13;MSN;male;35;100.5;33.7;82;31.5;3;34.3;12.4;5.3;4.9
V8-44;NA;1;Lett;92;14;13;MSN;male;35;103;33.2;86;32;2;34.3;12.8;4.9;4.8
V8-47;NA;1;Lett;92;12;11;SBH;male;35;103;34.3;84;31;2;35.7;12.3;5.4;5.1
V8-48;NA;1;Lett;92;15;16;MSN;male;35;103;33.9;83;32.5;2;36.3;13.2;5.3;5.1
V8-50;NA;1;Lett;92;14;12;MSN;male;35;99;33.4;80.5;29;2;35.4;12.9;5.3;5.1
V8-52;NA;1;Lett;92;11;16;MSN;male;35;100;32.1;78;30.5;3;34.3;12.7;5;5
V8-55;NA;1;Lett;92;13;11;SBH;male;35;101;33.8;79;31;2;35.5;13;5;5
V8-72;NA;1;Lett;92;12;11;SBH;male;35;102;34.7;83;31;3;36.5;13.2;5.4;5.1
V8-74;NA;1;Lett;92;15;13;SBH;female;35;99;32.9;83;31;4;37.4;12.6;5.2;5.2
V8-79;NA;1;Lett;92;14;11;MSN;male;35;97.5;33.2;81;28;1;33.5;12.3;5.2;5
V8-85;NA;1;Lett;92;12;12;SBH;male;35;101;32.6;80;29.5;2;36;13;5.2;5
V8-88;NA;1;Lett;92;14;10;MSN;male;35;104;34.2;82;29.5;2;34.7;13.6;5.2;5.2
V8-89;NA;1;Lett;92;14;17;SBH;male;35;97;32.8;79;30;2;32.6;12.5;4.9;5
V8-95;NA;1;Lett;92;12;10;SBH;male;35;100;32.9;79;28;2;33.4;13.1;5.2;5.2
V8-98;NA;1;Lett;92;15;15;MSN;male;35;102;33.7;83;31.5;3;36.1;13.2;5.4;5.2
V8-99;NA;1;Lett;92;11;11;SBH;male;35;103;33;81;31.5;2;33.4;12.7;5.6;5
1H-11;NA;1;Seg;92;31;6;SBH;male;35;101;32.8;77;31;2;31.8;12.8;5.1;4.8
1H-22;NA;1;Seg;92;48;11;DHT;female;35;95;32.6;73;95;2;27.9;12.3;4.6;5.2
1H-29;NA;1;Seg;92;31;9;SBH;male;35;106;34.3;83;33;2;35.3;12.5;5.1;5
1H-32;NA;1;Seg;92;33;35;DHT;male;35;104;35.2;84;30.5;1;37.2;12.3;5.3;5
1H-35;NA;1;Seg;92;33;8;DHT;female;35;100;32.6;78;30;2;33.4;12.2;5;5.2
1H-42;NA;1;Seg;92;31;10;SBH;male;35;102;33.2;81;29;1;36.8;12.2;5.2;5
1H-45;NA;1;Seg;92;33;6;DHT;male;35;103;33.1;78;30.5;1;34.4;11.7;5.4;5
1H-59;NA;1;Seg;92;33;8;DHT;male;35;102;33.1;80;29.5;1;34.5;13.1;5.2;5
1H-77;NA;1;Seg;92;33;13;DHT;male;35;102;33.7;81;30.5;2;34.8;12.8;5.3;5
1H-78;NA;1;Seg;92;48;6;DHT;male;35;100;33.1;78;29;0;31.8;11.4;5.3;5.2
2H-8;NA;1;Seg;92;31;6;SBH;male;60;106;33.1;84;33;1;34.9;13.8;5.1;5.1
H7-98;NA;1;Seg;92;57;8;SBH;female;80;99;33.5;75;NA;1;38.3;13.1;5.2;5.2
H9-01;NA;1;Seg;92;57;9;DHT;female;30;97;34.1;75;28;1;30.3;13;5.2;4.8
H9-05;NA;1;Seg;92;57;10;SBH;female;30;97;32.2;74;28;3;34;12.7;5.1;5
1H-14;NA;1;Tys;92;35;6;SBH;male;35;103;34.7;81;29;1;33.7;13;5.1;4.9
1H-18;NA;1;Tys;92;35;7;SBH;male;20;100;34;79;29;1;34.2;13.1;5.1;5
1H-79;NA;1;Tys;92;35;9;SBH;male;35;103;34.1;82;31;1;35;12.7;5.1;5.1
1H-93;NA;1;Tys;92;35;8;SBH;male;35;100;33.7;77;29;1;32.2;13.1;5;4.7
2H-38;NA;1;Kvi;93;48;12;BNN;female;70;98;32.1;77;29;1;29.8;12.2;5.1;5.1
2H-38;NA;2;Kvi;93;72;6;PFD;female;70;98;31.9;NA;NA;0;28.4;NA;NA;NA
